venue,winner,wins
Arun Jaitley Stadium,UP Warriorz,1
Arun Jaitley Stadium,Gujarat Giants,2
Arun Jaitley Stadium,Mumbai Indians,2
Arun Jaitley Stadium,Delhi Capitals,3
Arun Jaitley Stadium,Royal Challengers Bangalore,3
Brabourne Stadium,Royal Challengers Bangalore,1
Brabourne Stadium,Delhi Capitals,2
Brabourne Stadium,Gujarat Giants,2
Brabourne Stadium,UP Warriorz,2
Brabourne Stadium,Mumbai Indians,4
Dr DY Patil Sports Academy,Royal Challengers Bangalore,1
Dr DY Patil Sports Academy,UP Warriorz,2
Dr DY Patil Sports Academy,Delhi Capitals,4
Dr DY Patil Sports Academy,Mumbai Indians,4
M Chinnaswamy Stadium,UP Warriorz,2
M Chinnaswamy Stadium,Delhi Capitals,3
M Chinnaswamy Stadium,Mumbai Indians,3
M Chinnaswamy Stadium,Royal Challengers Bangalore,3
