toss_winner,toss_decision,Toss Winner Result,Count
Delhi Capitals,bat,Lost Match,3
Delhi Capitals,bat,Won Match,1
Delhi Capitals,field,Lost Match,1
Delhi Capitals,field,Won Match,4
Gujarat Giants,bat,Lost Match,6
Gujarat Giants,bat,Won Match,3
Gujarat Giants,field,Lost Match,3
Mumbai Indians,bat,Won Match,1
Mumbai Indians,field,Lost Match,1
Mumbai Indians,field,Won Match,4
Royal Challengers Bangalore,bat,Lost Match,2
Royal Challengers Bangalore,bat,Won Match,1
Royal Challengers Bangalore,field,Lost Match,2
Royal Challengers Bangalore,field,Won Match,3
UP Warriorz,bat,Lost Match,1
UP Warriorz,bat,Won Match,1
UP Warriorz,field,Lost Match,4
UP Warriorz,field,Won Match,3
