Team,Opponent,Total Matches,Wins,Losses,No Result,Tied Matches,Home Wins,Away Wins,Neutral Wins,Toss Wins,Toss Won & Match Won,Toss Won & Match Lost,Toss Lost & Match Won,Toss Lost & Match Lost,Batting First Wins,Batting Second Wins,Last 5 Matches
Mumbai Indians,Gujarat Giants,4,4,0,0,0,0,0,0,1,1,0,3,0,1,0,"[{'date': Timestamp('2024-03-09 00:00:00'), 'team1': 'Gujarat Giants', 'team2': 'Mumbai Indians', 'winner': 'Mumbai Indians'}, {'date': Timestamp('2024-02-25 00:00:00'), 'team1': 'Gujarat Giants', 'team2': 'Mumbai Indians', 'winner': 'Mumbai Indians'}, {'date': Timestamp('2023-03-14 00:00:00'), 'team1': 'Mumbai Indians', 'team2': 'Gujarat Giants', 'winner': 'Mumbai Indians'}, {'date': Timestamp('2023-03-04 00:00:00'), 'team1': 'Mumbai Indians', 'team2': 'Gujarat Giants', 'winner': 'Mumbai Indians'}]"
Mumbai Indians,Delhi Capitals,5,3,2,0,0,0,0,0,2,1,1,2,1,2,0,"[{'date': Timestamp('2024-03-05 00:00:00'), 'team1': 'Delhi Capitals', 'team2': 'Mumbai Indians', 'winner': 'Delhi Capitals'}, {'date': Timestamp('2024-02-23 00:00:00'), 'team1': 'Delhi Capitals', 'team2': 'Mumbai Indians', 'winner': 'Mumbai Indians'}, {'date': Timestamp('2023-03-26 00:00:00'), 'team1': 'Delhi Capitals', 'team2': 'Mumbai Indians', 'winner': 'Mumbai Indians'}, {'date': Timestamp('2023-03-20 00:00:00'), 'team1': 'Mumbai Indians', 'team2': 'Delhi Capitals', 'winner': 'Delhi Capitals'}, {'date': Timestamp('2023-03-09 00:00:00'), 'team1': 'Delhi Capitals', 'team2': 'Mumbai Indians', 'winner': 'Mumbai Indians'}]"
Mumbai Indians,Royal Challengers Bangalore,5,3,2,0,0,0,0,0,2,2,0,1,2,1,0,"[{'date': Timestamp('2024-03-15 00:00:00'), 'team1': 'Royal Challengers Bangalore', 'team2': 'Mumbai Indians', 'winner': 'Royal Challengers Bangalore'}, {'date': Timestamp('2024-03-12 00:00:00'), 'team1': 'Mumbai Indians', 'team2': 'Royal Challengers Bangalore', 'winner': 'Royal Challengers Bangalore'}, {'date': Timestamp('2024-03-02 00:00:00'), 'team1': 'Royal Challengers Bangalore', 'team2': 'Mumbai Indians', 'winner': 'Mumbai Indians'}, {'date': Timestamp('2023-03-21 00:00:00'), 'team1': 'Royal Challengers Bangalore', 'team2': 'Mumbai Indians', 'winner': 'Mumbai Indians'}, {'date': Timestamp('2023-03-06 00:00:00'), 'team1': 'Royal Challengers Bangalore', 'team2': 'Mumbai Indians', 'winner': 'Mumbai Indians'}]"
Mumbai Indians,UP Warriorz,5,3,2,0,0,0,0,0,1,1,0,2,2,2,0,"[{'date': Timestamp('2024-03-07 00:00:00'), 'team1': 'Mumbai Indians', 'team2': 'UP Warriorz', 'winner': 'Mumbai Indians'}, {'date': Timestamp('2024-02-28 00:00:00'), 'team1': 'Mumbai Indians', 'team2': 'UP Warriorz', 'winner': 'UP Warriorz'}, {'date': Timestamp('2023-03-24 00:00:00'), 'team1': 'Mumbai Indians', 'team2': 'UP Warriorz', 'winner': 'Mumbai Indians'}, {'date': Timestamp('2023-03-18 00:00:00'), 'team1': 'Mumbai Indians', 'team2': 'UP Warriorz', 'winner': 'UP Warriorz'}, {'date': Timestamp('2023-03-12 00:00:00'), 'team1': 'UP Warriorz', 'team2': 'Mumbai Indians', 'winner': 'Mumbai Indians'}]"
Gujarat Giants,Mumbai Indians,4,0,4,0,0,0,0,0,3,0,3,0,1,0,0,"[{'date': Timestamp('2024-03-09 00:00:00'), 'team1': 'Gujarat Giants', 'team2': 'Mumbai Indians', 'winner': 'Mumbai Indians'}, {'date': Timestamp('2024-02-25 00:00:00'), 'team1': 'Gujarat Giants', 'team2': 'Mumbai Indians', 'winner': 'Mumbai Indians'}, {'date': Timestamp('2023-03-14 00:00:00'), 'team1': 'Mumbai Indians', 'team2': 'Gujarat Giants', 'winner': 'Mumbai Indians'}, {'date': Timestamp('2023-03-04 00:00:00'), 'team1': 'Mumbai Indians', 'team2': 'Gujarat Giants', 'winner': 'Mumbai Indians'}]"
Gujarat Giants,Delhi Capitals,4,1,3,0,0,0,0,0,3,0,3,1,0,0,0,"[{'date': Timestamp('2024-03-13 00:00:00'), 'team1': 'Gujarat Giants', 'team2': 'Delhi Capitals', 'winner': 'Delhi Capitals'}, {'date': Timestamp('2024-03-03 00:00:00'), 'team1': 'Delhi Capitals', 'team2': 'Gujarat Giants', 'winner': 'Delhi Capitals'}, {'date': Timestamp('2023-03-16 00:00:00'), 'team1': 'Gujarat Giants', 'team2': 'Delhi Capitals', 'winner': 'Gujarat Giants'}, {'date': Timestamp('2023-03-11 00:00:00'), 'team1': 'Gujarat Giants', 'team2': 'Delhi Capitals', 'winner': 'Delhi Capitals'}]"
Gujarat Giants,Royal Challengers Bangalore,4,2,2,0,0,0,0,0,3,2,1,0,1,2,0,"[{'date': Timestamp('2024-03-06 00:00:00'), 'team1': 'Gujarat Giants', 'team2': 'Royal Challengers Bangalore', 'winner': 'Gujarat Giants'}, {'date': Timestamp('2024-02-27 00:00:00'), 'team1': 'Gujarat Giants', 'team2': 'Royal Challengers Bangalore', 'winner': 'Royal Challengers Bangalore'}, {'date': Timestamp('2023-03-18 00:00:00'), 'team1': 'Gujarat Giants', 'team2': 'Royal Challengers Bangalore', 'winner': 'Royal Challengers Bangalore'}, {'date': Timestamp('2023-03-08 00:00:00'), 'team1': 'Gujarat Giants', 'team2': 'Royal Challengers Bangalore', 'winner': 'Gujarat Giants'}]"
Gujarat Giants,UP Warriorz,4,1,3,0,0,0,0,0,3,1,2,0,1,1,0,"[{'date': Timestamp('2024-03-11 00:00:00'), 'team1': 'Gujarat Giants', 'team2': 'UP Warriorz', 'winner': 'Gujarat Giants'}, {'date': Timestamp('2024-03-01 00:00:00'), 'team1': 'Gujarat Giants', 'team2': 'UP Warriorz', 'winner': 'UP Warriorz'}, {'date': Timestamp('2023-03-20 00:00:00'), 'team1': 'Gujarat Giants', 'team2': 'UP Warriorz', 'winner': 'UP Warriorz'}, {'date': Timestamp('2023-03-05 00:00:00'), 'team1': 'Gujarat Giants', 'team2': 'UP Warriorz', 'winner': 'UP Warriorz'}]"
Delhi Capitals,Mumbai Indians,5,2,3,0,0,0,0,0,3,1,2,1,1,0,0,"[{'date': Timestamp('2024-03-05 00:00:00'), 'team1': 'Delhi Capitals', 'team2': 'Mumbai Indians', 'winner': 'Delhi Capitals'}, {'date': Timestamp('2024-02-23 00:00:00'), 'team1': 'Delhi Capitals', 'team2': 'Mumbai Indians', 'winner': 'Mumbai Indians'}, {'date': Timestamp('2023-03-26 00:00:00'), 'team1': 'Delhi Capitals', 'team2': 'Mumbai Indians', 'winner': 'Mumbai Indians'}, {'date': Timestamp('2023-03-20 00:00:00'), 'team1': 'Mumbai Indians', 'team2': 'Delhi Capitals', 'winner': 'Delhi Capitals'}, {'date': Timestamp('2023-03-09 00:00:00'), 'team1': 'Delhi Capitals', 'team2': 'Mumbai Indians', 'winner': 'Mumbai Indians'}]"
Delhi Capitals,Gujarat Giants,4,3,1,0,0,0,0,0,1,0,1,3,0,2,0,"[{'date': Timestamp('2024-03-13 00:00:00'), 'team1': 'Gujarat Giants', 'team2': 'Delhi Capitals', 'winner': 'Delhi Capitals'}, {'date': Timestamp('2024-03-03 00:00:00'), 'team1': 'Delhi Capitals', 'team2': 'Gujarat Giants', 'winner': 'Delhi Capitals'}, {'date': Timestamp('2023-03-16 00:00:00'), 'team1': 'Gujarat Giants', 'team2': 'Delhi Capitals', 'winner': 'Gujarat Giants'}, {'date': Timestamp('2023-03-11 00:00:00'), 'team1': 'Gujarat Giants', 'team2': 'Delhi Capitals', 'winner': 'Delhi Capitals'}]"
