season,toss_winner,toss_decision,winner
2023,Gujarat Giants,field,Mumbai Indians
2023,Gujarat Giants,bat,UP Warriorz
2023,Royal Challengers Bangalore,field,Delhi Capitals
2023,Royal Challengers Bangalore,bat,Mumbai Indians
2023,UP Warriorz,field,Delhi Capitals
2023,Gujarat Giants,bat,Gujarat Giants
2023,Delhi Capitals,bat,Mumbai Indians
2023,Royal Challengers Bangalore,bat,UP Warriorz
2023,Gujarat Giants,bat,Delhi Capitals
2023,UP Warriorz,bat,Mumbai Indians
2023,Delhi Capitals,field,Delhi Capitals
2023,Gujarat Giants,field,Mumbai Indians
2023,Royal Challengers Bangalore,field,Royal Challengers Bangalore
2023,Delhi Capitals,field,Gujarat Giants
2023,UP Warriorz,field,UP Warriorz
2023,Gujarat Giants,bat,Royal Challengers Bangalore
2023,Delhi Capitals,field,Delhi Capitals
2023,Gujarat Giants,bat,UP Warriorz
2023,Delhi Capitals,field,Delhi Capitals
2023,Mumbai Indians,field,Mumbai Indians
2023,UP Warriorz,field,Mumbai Indians
2023,Delhi Capitals,bat,Mumbai Indians
2024,Mumbai Indians,field,Mumbai Indians
2024,UP Warriorz,field,Royal Challengers Bangalore
2024,Mumbai Indians,field,Mumbai Indians
2024,Delhi Capitals,field,Delhi Capitals
2024,Royal Challengers Bangalore,field,Royal Challengers Bangalore
2024,UP Warriorz,field,UP Warriorz
2024,Royal Challengers Bangalore,field,Delhi Capitals
2024,UP Warriorz,field,UP Warriorz
2024,Mumbai Indians,field,Mumbai Indians
2024,Gujarat Giants,field,Delhi Capitals
2024,UP Warriorz,field,Royal Challengers Bangalore
2024,Mumbai Indians,field,Delhi Capitals
2024,Gujarat Giants,bat,Gujarat Giants
2024,Mumbai Indians,bat,Mumbai Indians
2024,UP Warriorz,bat,UP Warriorz
2024,Gujarat Giants,bat,Mumbai Indians
2024,Delhi Capitals,bat,Delhi Capitals
2024,Gujarat Giants,bat,Gujarat Giants
2024,Royal Challengers Bangalore,field,Royal Challengers Bangalore
2024,Gujarat Giants,bat,Delhi Capitals
2024,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
2024,Delhi Capitals,bat,Royal Challengers Bangalore
