level_0,level_1,Total Matches,Mumbai Indians,Gujarat Giants,Draw,UP Warriorz,Delhi Capitals,Royal Challengers Bangalore
Mumbai Indians,Gujarat Giants,2,2.0,0.0,0,,,
Gujarat Giants,UP Warriorz,2,,0.0,0,2.0,,
Delhi Capitals,Royal Challengers Bangalore,2,,,0,,2.0,0.0
Royal Challengers Bangalore,Mumbai Indians,2,2.0,,0,,,0.0
Delhi Capitals,UP Warriorz,2,,,0,0.0,2.0,
Gujarat Giants,Royal Challengers Bangalore,2,,1.0,0,,,1.0
Delhi Capitals,Mumbai Indians,3,2.0,,0,,1.0,
Royal Challengers Bangalore,UP Warriorz,2,,,0,1.0,,1.0
Gujarat Giants,Delhi Capitals,2,,1.0,0,,1.0,
UP Warriorz,Mumbai Indians,3,2.0,,0,1.0,,
