level_0,level_1,Total Matches,Delhi Capitals,Mumbai Indians,Draw,Royal Challengers Bangalore,UP Warriorz,Gujarat Giants
Delhi Capitals,Mumbai Indians,2,1.0,1.0,0,,,
Royal Challengers Bangalore,UP Warriorz,2,,,0,2.0,0.0,
Gujarat Giants,Mumbai Indians,2,,2.0,0,,,0.0
UP Warriorz,Delhi Capitals,2,1.0,,0,,1.0,
Gujarat Giants,Royal Challengers Bangalore,2,,,0,1.0,,1.0
Mumbai Indians,UP Warriorz,2,,1.0,0,,1.0,
Delhi Capitals,Royal Challengers Bangalore,3,2.0,,0,1.0,,
Gujarat Giants,UP Warriorz,2,,,0,,1.0,1.0
Royal Challengers Bangalore,Mumbai Indians,3,,1.0,0,2.0,,
Delhi Capitals,Gujarat Giants,2,2.0,,0,,,0.0
