level_0,level_1,Total Matches,Mumbai Indians,Gujarat Giants,Draw,UP Warriorz,Delhi Capitals,Royal Challengers Bangalore
Mumbai Indians,Gujarat Giants,4,4.0,0.0,0,,,
Gujarat Giants,UP Warriorz,4,,1.0,0,3.0,,
Delhi Capitals,Royal Challengers Bangalore,5,,,0,,4.0,1.0
Royal Challengers Bangalore,Mumbai Indians,5,3.0,,0,,,2.0
Delhi Capitals,UP Warriorz,4,,,0,1.0,3.0,
Gujarat Giants,Royal Challengers Bangalore,4,,2.0,0,,,2.0
Delhi Capitals,Mumbai Indians,5,3.0,,0,,2.0,
Royal Challengers Bangalore,UP Warriorz,4,,,0,1.0,,3.0
Gujarat Giants,Delhi Capitals,4,,1.0,0,,3.0,
UP Warriorz,Mumbai Indians,5,3.0,,0,2.0,,
